sample ID	forward sequence count	reverse sequence count
YUN3428.2	4557	4557
BAQ4166.1.2	4123	4123
BAQ4166.3	4019	4019
BAQ4166.2	3957	3957
YUN3533.3	3931	3931
BAQ3473.3	3859	3859
YUN3856.3	3850	3850
YUN3533.2	3776	3776
BAQ3473.1	3485	3485
BAQ4697.3	3467	3467
YUN3428.3	3458	3458
YUN3259.3	3371	3371
BAQ4166.1.1	3273	3273
YUN3428.1	3216	3216
YUN3856.1.1	3195	3195
BAQ4166.1.3	3159	3159
YUN3856.2	3132	3132
YUN3259.2	3127	3127
YUN3856.1.2	3090	3090
BAQ3473.2	3027	3027
YUN3533.1.1	2976	2976
BAQ2462.1	2912	2912
YUN3533.1.2	2856	2856
BAQ2687.3	2838	2838
YUN2029.2	2811	2811
YUN1005.1.1	2724	2724
BAQ4697.1	2700	2700
BAQ2687.1	2673	2673
BAQ4697.2	2544	2544
YUN3533.1.3	2510	2510
YUN3346.3	2408	2408
BAQ2420.1.1	2362	2362
YUN1242.3	2341	2341
YUN3856.1.3	2333	2333
YUN1609.1	2275	2275
YUN3259.1.2	2161	2161
YUN3346.1	2133	2133
BAQ2687.2	2112	2112
BAQ2420.1.2	2090	2090
BAQ2420.1.3	2081	2081
BAQ2420.2	2070	2070
BAQ2420.3	1990	1990
BAQ2462.2	1980	1980
BAQ2838.1	1924	1924
YUN1242.1	1829	1829
YUN3153.3	1801	1801
BAQ2838.2	1689	1689
BAQ2462.3	1545	1545
YUN3153.2	1405	1405
YUN1005.3	1324	1324
BAQ2838.3	1202	1202
YUN3259.1.3	867	867
YUN3346.2	628	628
YUN3259.1.1	187	187
YUN1242.2	28	28
YUN2029.1	26	26
BAQ1370.1.3	24	24
BAQ895.2	20	20
YUN3008.1.3	20	20
BAQ1552.1.1	16	16
YUN3153.1	15	15
YUN3008.3	15	15
YUN1005.1.3	12	12
YUN3184.2	10	10
BAQ1370.1.2	9	9
YUN3008.1.1	9	9
YUN1005.2	7	7
YUN2029.3	5	5
BAQ1552.2	5	5
YUN3008.1.2	4	4
YUN3184.1	3	3
YUN1609.3	3	3
BAQ895.3	2	2
BAQ1370.3	1	1
YUN3008.2	1	1
